# Format: Source,SourceLat,SourceLon,Destination,DestLat,DestLon,Distance(km),Cost($)
Delhi,28.7041,77.1025,Agra,27.1767,78.0081,200,25
Agra,27.1767,78.0081,Jaipur,26.9124,75.7873,240,30
Jaipur,26.9124,75.7873,Udaipur,24.5854,73.6819,390,50
Delhi,28.7041,77.1025,Chandigarh,30.7333,76.7794,250,35
Chandigarh,30.7333,76.7794,Manali,32.2432,77.1892,310,70
Manali,32.2432,77.1892,Leh,34.1526,77.5771,470,150
Agra,27.1767,78.0081,Lucknow,26.8467,80.9462,330,40
Lucknow,26.8467,80.9462,Patna,25.5941,85.1376,530,65
Jaipur,26.9124,75.7873,Delhi,28.7041,77.1025,280,70
Mumbai,19.0760,72.8777,Pune,18.5204,73.8567,150,20
Mumbai,19.0760,72.8777,Delhi,28.7041,77.1025,1400,180
Kolkata,22.5726,88.3639,Patna,25.5941,85.1376,550,75
Chennai,13.0827,80.2707,Bangalore,12.9716,77.5946,350,45
Bangalore,12.9716,77.5946,Hyderabad,17.3850,78.4867,570,70
Hyderabad,17.3850,78.4867,Nagpur,21.1458,79.0882,500,65
Jaipur,26.9124,75.7873,Ahmedabad,23.0225,72.5714,680,85
Ahmedabad,23.0225,72.5714,Surat,21.1702,72.8311,260,35
Pune,18.5204,73.8567,Goa,15.2993,74.1240,440,90
Delhi,28.7041,77.1025,Lucknow,26.8467,80.9462,550,60
Kolkata,22.5726,88.3639,Bhubaneswar,20.2961,85.8245,440,55
Chennai,13.0827,80.2707,Kochi,9.9312,76.2673,690,100
Manali,32.2432,77.1892,Shimla,31.1048,77.1734,250,65
Udaipur,24.5854,73.6819,Jodhpur,26.2389,73.0243,260,30
Lucknow,26.8467,80.9462,Varanasi,25.3176,82.9739,320,40
Mumbai,19.0760,72.8777,Ahmedabad,23.0225,72.5714,525,65
Bangalore,12.9716,77.5946,Mumbai,19.0760,72.8777,980,130
Kolkata,22.5726,88.3639,Guwahati,26.1445,91.7362,1050,140
Guwahati,26.1445,91.7362,Shillong,25.5788,91.8933,100,15
Pune,18.5204,73.8567,Hyderabad,17.3850,78.4867,560,70
Nagpur,21.1458,79.0882,Bhopal,23.2599,77.4126,390,50
Bhopal,23.2599,77.4126,Indore,22.7196,75.8577,195,25
Chennai,13.0827,80.2707,Madurai,9.9252,78.1198,460,60
Kochi,9.9312,76.2673,Trivandrum,8.5241,76.9366,200,30
